Va !	Ir !
C'est lui le bouc émissaire.	É a cabra emissária.
J'appréciai de travailler avec toi.	Eu gostei de trabalhar com você.
Je veux seulement t'aider.	Eu só quero te ajudar.
Je me sens super mal.	Eu me sinto ótimo.
Nous espérons faire un bon travail.	Esperamos fazer um bom trabalho.
Je suis désolé que les choses n'aient pas fonctionné.	Lamento que as coisas não funcionassem.
Tom voulait danser avec Mary.	Tom queria dançar com Maria.
Ne fais, ce soir, rien d'éprouvant !	Não faça, esta noite nada experiente!
Je vais résoudre ça.	Eu vou resolver isso.
De nombreuses personnes sont en train d'attendre Tom.	Muitas pessoas estão esperando por Tom.
Tom semble être sous le choc.	Tom parece estar em choque.
C'est un jour pluvieux alors nous ne pouvons pas jouer dehors.	É um dia chuvoso para que não possamos brincar do lado de fora.
Tu es une véritable amie.	Você é um amigo de verdade.
Je veux savoir exactement comment Tom est mort.	Eu quero saber exatamente como Tom está morto.
Je veux m'assurer que tu es celle que tu déclares être.	Eu quero ter certeza de que você é o único que você diz para ser.
C'est bon à entendre.	É bom ouvir.
Tom a toujours des sentiments pour toi.	Tom sempre tem sentimentos por você.
Quelle est votre langue natale ?	Qual é o seu idioma nativo?
Je n'avais pensé à cela.	Eu pensei nisso.
Laissez-les faire leur travail !	Deixe-os fazer o trabalho deles!
Je dispose de temps.	Eu tenho tempo.
Tom est adorable.	Tom é adorável.
J'aime les sushis.	Eu gosto de sushi.
Vous n'allez pas le regretter !	Você não vai se arrepender !
Êtes-vous devenue folle ?	Você fica louco?
Mon mari lit toujours au lit.	Meu marido ainda lê na cama.
Il est sans aucun doute le metteur en scène de films le plus apprécié dans le monde.	É, sem dúvida, o diretor dos filmes mais populares do mundo.
Veuillez dire à Tom de mettre un costume.	Por favor, diga a Tom para colocar uma fantasia.
Tom était magnifique.	Tom era lindo.
Est-ce que c'est autorisé ?	É permitido?
Elles semblaient être sur le point de pleurer.	Eles pareciam estar prestes a chorar.
Elle lui ordonna de nettoyer sa chambre.	Ela ordenou que ela limpasse seu quarto.
Pouvez-vous vous éloigner, s'il vous plaît ?	Você pode fugir, por favor?
C'est facile de s'en souvenir.	É fácil lembrar.
Vous êtes bavarde.	Você está conversando.
J'espère que tu nous attendras.	Espero que você espere por nós.
Je suis heureuse de vous rencontrer.	Estou feliz em te conhecer.
La tempête occasionna beaucoup de dommages sur sa propriété.	A tempestade causou muitos danos à sua propriedade.
Toutes les histoires sont intéressantes.	Todas as histórias são interessantes.
Je n'ai plus besoin d'être ici.	Eu não preciso mais estar aqui.
Désolé, j'ai dû composer le mauvais numéro.	Desculpe, eu tive que compor o número errado.
J'irai à Boston pour être avec ma famille.	Eu vou para Boston para estar com minha família.
Quelle en fut l'issue ?	Qual foi o resultado?
C'est un génie.	Ele é um gênio.
Je vais beaucoup mieux maintenant.	Eu estou indo muito melhor agora.
Je ne suis pas bon là-dedans.	Eu não sou bom lá.
Je ne mange pas autant de viande que j'en avais l'habitude.	Eu não como muita carne que eu usei.
Tom fait souvent les mêmes erreurs.	Tom muitas vezes faz os mesmos erros.
J'apprécie votre attitude.	Eu aprecio sua atitude.
Tom n'a pas pu dissimuler sa douleur.	Tom não podia esconder sua dor.
Tu devrais penser à ton avenir.	Você deve pensar no seu futuro.
Je pense que nous devrions y aller, maintenant.	Eu acho que devemos ir agora.
Nous sommes chanceuses d'être vivantes.	Temos a sorte de estarem vivos.
Tu dois garder la forme.	Você tem que manter em forma.
Ce n'est pas étonnant qu'ils aient refusé son offre.	Não é de surpreender que eles recusassem sua oferta.
Ce travail dépasse ma compétence.	Este trabalho excede minha competência.
Tom ferma la porte de la cuisine.	Tom fechou a porta da cozinha.
Elles sont médecins.	Eles são médicos.
As-tu vu mon fils ?	Você viu meu filho?
Tom était agressif.	Tom foi agressivo.
Serez-vous en Australie pour Noël ?	Você vai estar na Austrália para o Natal?
Si tu me prêtais de l'argent, je t'en serais reconnaissant.	Se você me emprestou dinheiro, seria grato por isso.
J'anticipe une bonne partie.	Eu antecipo uma boa parte.
Son avis m'a encouragé à essayer à nouveau.	Sua opinião me encorajou a tentar novamente.
Je vais probablement me lever tôt demain.	Eu provavelmente vou levantar cedo amanhã.
Vous ne m'écoutez pas.	Você não me escuta.
Combien coûte l'entrée ?	Quanto custa a entrada?
Je crois que Tom ne vous aime probablement pas beaucoup.	Eu acho que Tom provavelmente não te ama muito.
Il avait dirigé la Parti Républicain avec beaucoup de succès.	Ele liderou a festa republicana com grande sucesso.
Je me sentis affreusement mal.	Eu me senti horrivelmente mal.
Il s'est endormi au volant et a eu un accident.	Ele adormeceu dirigindo e teve um acidente.
C'est pour mon amie.	É para o meu amigo.
Le travail doit être fini pour demain.	O trabalho deve ser terminado para amanhã.
Tom a l'air heureux.	Tom parece feliz.
Je l'ai toujours su.	Eu sempre soube disso.
Il l'a fait à nouveau.	Ele fez isso de novo.
Nettoyons entièrement le bureau samedi prochain.	Limpe totalmente o escritório no próximo sábado.
Comment s'appelle cet oiseau ?	Qual é o nome desse pássaro?
Qu'il l'aimât était certain.	Ele adorava que era certo.
Nous méritons toutes le respect.	Nós merecemos todo o respeito.
Es-tu sure qu'il s'agit d'une bonne idée ?	Tem certeza de que é uma boa ideia?
Avez-vous vu qui que ce soit de suspect ?	Você já viu alguém suspeito?
Laisse le chien dehors.	Deixe o cachorro do lado de fora.
Je n'ai pas besoin qu'on me conduise.	Eu não preciso ser conduzido.
Mon médecin m'a dit d'arrêter de fumer.	Meu médico me disse para sair.
J'ai eu besoin de votre aide mais je n'ai pas pu vous trouver.	Eu precisava de sua ajuda, mas não consegui encontrar você.
Je veux ce chien.	Eu quero esse cachorro.
Nous n'avons pas de chance une fois de plus.	Nós não temos sorte mais uma vez.
Si Tom avait eu quelque chose à jeter, il l'aurait jeté.	Se Tom tivesse algo para jogar, ele teria jogado.
Tu n’es pas non plus un saint.	Você não é um santo.
Êtes-vous jalouse ?	Você é ciumento?
Le comptable ne voulait pas admettre l'erreur.	O contador não queria admitir o erro.
Je ne suis pas assez vieux.	Eu não tenho idade suficiente.
Ils se sont perdus en forêt.	Eles se perderam na floresta.
Il s'est caché derrière l'arbre.	Ele se escondeu atrás da árvore.
J'attends depuis deux heures.	Eu tenho esperado por duas horas.
Elle divorça.	Ela se divorciou.
Vous pourriez devoir le faire vous-même.	Você pode ter que fazer você mesmo.
Je ne sais pas comment vous supportez de faire ceci encore et encore.	Eu não sei como você suporta para fazer isso de novo e de novo.
C'est très gentil de ta part.	É muito gentil de sua parte.
Mon chat perd ses poils.	Meu gato perde o cabelo.
Vous aviez tort après tout.	Você estava errado depois de tudo.
Le robot échappa au contrôle.	O robô escapou controle.
Quel temps fait-il ?	Qual o tempo é?
Tous les criminels ont été appréhendés.	Todos os criminosos foram apreendidos.
Tom a changé de rapport.	Tom mudou relatório.
Je suis désolée de t'avoir blessée.	Me desculpe por te machucar.
Il remplit le seau d'eau.	Ele preenche o balde de água.
Je ne connais rien de leur plan.	Eu não sei nada sobre o seu plano.
La falaise est suspendue au-dessus de la mer.	O penhasco é suspenso acima do mar.
Tu as de beaux yeux bleus.	Você tem lindos olhos azuis.
Vous êtes juste.	Você é justo.
J'ignore ce que je vous dois.	Eu não sei o que te devo.
Êtes-vous seul ?	Você está sozinho ?
Ce livre de cuisine a des recettes pour n'importe quelle occasion.	Este livro de receitas tem receitas para qualquer ocasião.
Jette un coup d'œil à ce rapport.	Dê uma olhada neste relatório.
Tom a tenté de persuader Mary d'aller à l'église avec lui.	Tom tentou convencer Mary a ir à igreja com ele.
Cette blague qu'il a racontée m'a vraiment fait marrer !	Essa piada ele disse realmente me fez rir!
Ne choisis qu'une personne, je te prie.	Escolha apenas uma pessoa, eu te imploro.
Ça a besoin d'être réparé.	Precisa ser reparado.
Êtes-vous des environs ?	Você está por perto?
Je sais que Tom devrait le faire.	Eu sei que Tom deveria fazer isso.
Combien coûte une bière ?	Quanto custa uma cerveja?
Je n'en sais guère à votre sujet.	Não sei sobre você.
Nous n'avons pas encore planifié nos vacances.	Nós não planejamos nossas férias ainda.
J'ai essayé de parler à Tom.	Eu tentei falar com Tom.
Ils sont dans le laboratoire de sciences.	Eles estão no laboratório de ciências.
Il a appelé à l'aide.	Ele pediu ajuda.
Ce spectacle est trop osé pour des adolescents.	Este show é ousar demais para adolescentes.
Davantage d'étudiants se portent candidats à l'université qu'il ne peut en être admis.	Mais alunos são candidatos na universidade que não pode ser admitida.
Avez-vous emporté le moindre casse-croûte ?	Você levou a menor crosta?
J'ai été déçue.	Fiquei desapontado.
Êtes-vous prêtes pour le match d'aujourd'hui ?	Você está pronto para o jogo de hoje?
Un problème partagé est réduit de moitié.	Um problema compartilhado é reduzido pela metade.
Peux-tu me prêter ton vélo ?	Você pode me emprestar sua moto?
J'ai complètement oublié de préparer quelque chose à manger pour nous.	Eu esqueci completamente de preparar algo para comer para nós.
Puis-je avoir une seconde ?	Posso ter um segundo?
J'ai fait ça parce que tout le monde l'a fait.	Eu fiz isso porque todo mundo fez isso.
Le coût de la vie a augmenté.	O custo da vida aumentou.
Quand était la dernière fois que vous avez dû traiter ce genre de problème ?	Quando foi a última vez que você teve que tratar esse tipo de problema?
Je fus mal comprise.	Eu era mal entendido.
Avez-vous tout ?	Você tem tudo?
Ils vont nous montrer les documents.	Eles nos mostrarão os documentos.
Est-ce le mien ?	É meu?
Je dois te dire que je ne t'aime plus.	Eu devo te dizer que eu não te amo mais.
Je te prie de ne plus m'écrire.	Eu imploro para você não escrever para mim mais.
Veux-tu vraiment rester jeune pour l'éternité ?	Você realmente quer ficar jovem para a eternidade?
Quelqu'un a-t-il vu ma chope à bière ?	Alguém viu minha caneca de cerveja?
La population du Japon est plus grande que celles de la France et de la Grande-Bretagne réunies.	A população do Japão é maior do que as da França e a Grã-Bretanha se reuniram.
J'ai perdu mes lunettes.	Perdi os meus óculos.
Dépêchez-vous, je vous prie !	Rápido por favor!
Je suis vieux, mais pas si vieux.	Eu sou velho, mas não tão velho.
Ça ne constitue pas une option.	Não constitui uma opção.
Elle détourna le regard.	Ela se virou.
Il était surpris d'entendre parler du meurtre.	Ele ficou surpreso ao ouvir sobre assassinato.
Lisez ce qui est porté sur l'étiquette !	Leia o que é usado no rótulo!
Je dois dire que je vous envie les gars.	Devo dizer que quero vocês.
Je me souviens d'un poème en particulier.	Eu lembro de um determinado poema.
Il porte un chapeau.	Ele usa um chapéu.
Pourquoi es-tu venu ici ?	Por que você veio aqui?
Je commence à prendre du plaisir dans mon nouveau travail.	Estou começando a me divertir no meu novo emprego.
Je veux aller à Boston.	Eu quero ir a Boston.
Tom a posé la carte face cachée sur la table.	Tom colocou o cartão enfrentado na mesa.
Le chien était mort.	O cachorro estava morto.
Je n'en suis pas certain.	Não tenho certeza.
Je n'y avais même jamais pensé.	Eu nunca pensei lá.
Tout est-il payé ?	Tudo é pago?
Y a-t-il un vol dans l'après-midi ?	Existe um voo à tarde?
Quel genre de personnes traîne dans un endroit pareil ?	Que tipo de pessoas arrasta em tal lugar?
Elle fait un régime.	Ela faz uma dieta.
J'ai petit-déjeuné sur le pouce.	Eu tenho café da manhã no polegar.
Réveille-moi à sept heures.	Acorde-me às sete horas.
J'attends toujours votre réponse.	Eu ainda estou esperando por sua resposta.
Ont-elles dit ce qui s'est produit ?	Eles disseram o que aconteceu?
Que cuisinez-vous ?	O quê você cozinha?
Je n'ai pas à répondre à vos questions.	Eu não tenho que responder suas perguntas.
Ne vous laissez pas avoir par sa belle apparence.	Não seja feito por sua linda aparição.
J'adore regarder des films qui me font réfléchir.	Eu adoro assistir filmes que me fazem pensar.
Regarde-la agir avec affectation là-bas.	Olhe com a tarefa lá.
Je suis sur le point de partir.	Estou prestes a sair.
Je ne suis pas médecin, mais instituteur.	Eu não sou médico, mas professor.
Penses-tu sérieusement à acheter un ordinateur dans ce magasin ?	Você pensa seriamente em comprar um computador nesta loja?
Je ne suis pas habituée à me lever tôt.	Eu não estou acostumado a levantar cedo.
Il est trop petit pour atteindre le livre sur l'étagère.	É pequeno demais para chegar ao livro na prateleira.
Débarrasse-toi des choses que tu n'utilises pas.	Livre-se das coisas que você não usa.
Je pense qu'il est temps pour moi d'acquérir un nouvel appareil photo.	Eu acho que é hora de eu adquirir uma nova câmera.
Pouvez-vous faire en sorte de fermer la porte ?	Você pode fechar a porta?
J'ai été terrassée par un terrible rhume durant une semaine.	Eu estava com terraços por um resfriado terrível por uma semana.
Elle m'a montré sa nouvelle voiture.	Ela me mostrou seu carro novo.
Qui attends-tu ?	Por quem você está esperando ?
Donnez-moi les clés de la voiture.	Dê-me as chaves do carro.
« Comment allez-vous ? » « Je vais bien, merci. »	""" Como vai ? "" "" Vou bem obrigado. »"
Pourrais-je emprunter votre voiture ?	Eu poderia emprestar seu carro?
Ne me faites pas attendre longtemps.	Não me faça esperar muito tempo.
Ma place est avec eux, désormais.	Meu lugar é com eles agora.
Mozart est mort en 1791.	Mozart morreu em 1791.
On ne frappe pas un homme à terre.	Nós não atingimos um homem no chão.
Le train de fret a été retenu près d'une demi-heure à cause de l'épais brouillard.	O trem de carga foi selecionado quase meia hora por causa da névoa espessa.
Où puis-je me rendre pour acquérir des livres et des catalogues d'art ?	Onde posso ir para adquirir livros e catálogos de arte?
Prenons nous ensemble en photo.	Vamos nos levar juntos na foto.
Je me laisse parfois emporter.	Eu às vezes levo embora.
Il a l'esprit agile.	Ele tem mente ágil.
Mettons-nous y !	Vamos nos colocar lá!
Tom a du mal à comprendre ce concept.	Tom tem dificuldade em entender este conceito.
Je sais que Tom est un passionné de cinéma.	Eu sei que Tom é um entusiasta de cinema.
Aidez Tom à charger le camion.	Ajude Tom a carregar o caminhão.
Elle est entrée pour se le procurer.	Ela entrou para conseguir.
Qui sait ce qui va advenir ?	Quem sabe o que irá acontecer?
Veuillez sortir de ma voiture.	Por favor, deixe meu carro.
Voulez-vous jouer avec Tom ?	Você quer brincar com Tom?
L'institutrice peut te voir.	O professor pode ver você.
Vous et moi savons tous les deux que cela n'arrivera pas.	Você e eu sabemos que isso não acontecerá.
Il m'a touché la main.	Ele tocou minha mão.
Cela n'était pas le choix de Tom.	Não foi a escolha de Tom.
J'en ai vraiment marre de mentir.	Eu realmente cansei de mentir.
Je ne veux pas de tes conseils juridiques.	Eu não quero o seu conselho legal.
Nous sommes vraiment saoules.	Nós somos realmente saudades.
Il vous faut sauver la princesse.	Você deve salvar a princesa.
Elles sont toutes parties.	Eles são todas as partes.
J'étais malheureux sans vous.	Eu estava infeliz sem você.
Tom est toujours en colère.	Tom está sempre zangado.
Je n'ai jamais vu cela auparavant.	Eu nunca vi isso antes.
Je vais marcher tous les matins.	Eu andarei todas as manhãs.
Vous ne le pensez pas sérieusement, n'est-ce pas ?	Você não acha seriamente, não é?
Ne t'ai-je pas prêté de l'argent hier ?	Eu não te dei dinheiro ontem?
Jouer au tennis est amusant.	Jogar tênis é divertido.
Je vais prendre congé pour cette nuit.	Eu vou sair para aquela noite.
Avez-vous le livre ?	Você tem o livro?
Quel âge avait-elle lorsqu'elle conduisit une voiture pour la première fois ?	Quantos anos ela tinha quando ela dirigiu um carro pela primeira vez?
Tom ne me prend jamais au sérieux.	Tom nunca me leva a sério.
Tous mes enfants savent parler français.	Todos os meus filhos sabem falar francês.
Où est le guichet d'American Airlines ?	Onde está o wicket of American Airlines?
J'avais travaillé dur toute la journée, donc j'étais très fatigué.	Eu tinha trabalhado duro o dia todo, então eu estava muito cansado.
Vous gagnez, n'est-ce pas ?	Você ganha, não é?
Elle peut à peine parler.	Ela dificilmente pode falar.
Passe me voir quand tu veux.	Passe me ver quando quiser.
Ma famille avait beaucoup de dettes.	Minha família teve muita dívida.
Prenez l'appareil photo.	Pegue a câmera.
Il est aux toilettes.	É para o banheiro.
On dirait que vous avez tout essayé.	Parece que você tentou de tudo.
Il avait une désagréable voix perçante.	Ele tinha uma voz perfuradora desagradável.
Tu étais censé faire ça hier.	Você deveria fazer isso ontem.
T'a-t-on tiré dessus ?	Você foi baleado?
Le professeur Hudson est un ami de mon père.	O professor Hudson é amigo do meu pai.
Ce distributeur automatique est en panne.	Esta máquina de venda automática está baixa.
Le clown a fait exprès de tomber.	O palhaço fez isso de propósito cair.
Tom a un fils nommé John.	Tom tem um filho chamado John.
Je me fiche de ma réputation.	Eu não me importo com minha reputação.
Tom est dépassé.	Tom é excedido.
Hier, alors que je marchais dans la rue, j'ai été témoin d'un accident.	Ontem, enquanto eu entrei na rua, presenciei um acidente.
Il admit sa défaite.	Ele admitiu sua derrota.
Je serai prêt.	Eu estarei pronto.
Je manque de confiance.	Eu não tenho confiança.
Eh, écoutez ceci.	Eh, ouça isso.
Je n'apprécie pas tes amies.	Eu não aprecio seus amigos.
Tu es dans le mauvais train.	Você está no trem errado.
J'ai plié mes vêtements et les ai mis dans ma valise.	Eu cruzei minhas roupas e coloquei-as na minha mala.
Je n'ai pas mangé de riz.	Eu não comi arroz.
J'apprécie toute l'assistance que vous pouvez me proposer.	Eu aprecio toda a ajuda que você pode me oferecer.
Vous êtes un génie.	Você é um gênio.
Ne poussez pas votre enfant dans quelque vocation qu'il n'aime pas.	Não empurre seu filho em alguma vocação que ele não gosta.
C'était presque amusant.	Foi quase divertido.
Tom a trois vaches.	Tom tem três vacas.
Elle chante bien.	Ela canta bem.
Je ne suis plus déprimé.	Eu não estou mais deprimido.
Ton chien est là.	Seu cachorro está lá.
Je n'ai pas reçu même une lettre d'elle.	Eu nem recebi uma carta dela.
Que suis-je censé faire avec ce que tu m'as donné ?	O que devo fazer com o que você me deu?
Ces genres de méthodes sont dépassés.	Esses tipos de métodos são excedidos.
Il n'y a pas de problème avec ce vélo.	Não há problema com esta moto.
Je travaille depuis mes seize ans.	Eu tenho trabalhado desde os meus dezesseis anos.
Ce café est confortable.	Este café é confortável.
Tom n'a pas peur de salir ses vêtements.	Tom não tem medo de sujar suas roupas.
Tom félicita Mary pour son diplôme.	Tom Felicita Maria para a formatura.
Reviens à la fête.	Volte para a festa.
Les décorations de Noël sont en hausse.	Decorações de Natal estão aumentando.
Elle a eu un diplôme de master il y a trois ans.	Ela tinha um diploma do mestre há três anos.
Nous voulons atteindre un public plus large.	Queremos chegar a um público mais amplo.
Je risquai tout.	Eu arrisquei tudo.
Une minute, s'il vous plaît.	Um minuto por favor.
Personne n'est admis.	Ninguém é admitido.
Tu ne fumes pas, n'est-ce pas ?	Você não fuma, não é?
Dans combien de temps cette robe sera-t-elle prête ?	Quanto tempo este vestido estará pronto?
Est-ce que tout cet argent est à toi ?	Todo esse dinheiro é seu?
Grâce à vous, j'ai dépensé tout mon argent.	Graças a você, passei todo o meu dinheiro.
J'ignore ce jeu.	Eu não conheço este jogo.
Je sais que Tom est embrumé.	Eu sei que Tom está enganado.
Le simple fait d'y penser suffit à me rendre heureux.	Só de pensar sobre isso é o suficiente para me fazer feliz.
Je savais que je te trouverais ici.	Eu sabia que te encontraria aqui.
Je veux juste quelques souvenirs afin de me rappeler cet endroit.	Eu só quero que algumas lembranças se lembrem deste lugar.
Qui es-tu pour juger ?	Quem você está tentando julgar?
J'ai apprécié votre danse.	Eu gostei da sua dança.
Je vous apporterai quelque chose à manger.	Eu vou te trazer algo para comer.
Comme il ne se sent pas bien aujourd'hui, il ne peut pas venir au bureau.	Como não se sente bem hoje, ele não pode vir ao escritório.
Tu pars demain ?	Você sai amanhã?
J'ai couru aussi vite que je pouvais mais j'ai manqué le train.	Eu corri o mais rápido que pude, mas perdi o trem.
Comment pensez-vous que ça m'a fait me sentir ?	Como você acha que me fez sentir?
C'est une brillante idée.	É uma ideia brilhante.
J'habite en ville, mais mes parents habitent à la campagne.	Eu moro na cidade, mas meus pais vivem no campo.
Je sais que tu es partie en retraite il y a peu.	Eu sei que você está se aposentando.
Personne ne voudrait écouter.	Ninguém gostaria de ouvir.
Ma mère est partie au salon de beauté.	Minha mãe faz parte do salão de beleza.
Je pense que ce serait le mieux.	Eu acho que seria melhor.
Je t'ai attendu dehors.	Eu esperei por você do lado de fora.
Il me promit d'être plus prudent à l'avenir.	Ele me prometeu ser mais cauteloso no futuro.
Comparé à toi, je ne suis qu'un débutant à ce jeu.	Comparado com você, eu sou apenas um iniciante neste jogo.
Tom a été suspendu.	Tom foi suspenso.
Avez-vous des journaux japonais ?	Você tem jornais japoneses?
Je peux te dépecer à mains nues.	Eu posso fugir nu.
Laissez-moi remettre ma décision.	Deixe-me colocar minha decisão.
Veuillez vous montrer polies.	Por favor, mostre-lhe polido.
J'aimerais disposer d'un appareil photo.	Eu gostaria de uma câmera.
Elle n'a pas pu réprimer ses émotions.	Ela não podia reprimir suas emoções.
Pouvez-vous prendre une petite pause ?	Você pode fazer uma pausa?
Je ne vais pas porter ce costume ridicule.	Eu não vou usar essa fantasia ridícula.
Je le fais pour elles.	Eu faço isso por eles.
Parlons de Tom et de ce qu'il a fait.	Vamos falar sobre Tom e o que ele fez.
Vous ne pouvez pas le garder secret.	Você não pode mantê-lo em segredo.
Ton rêve se réalisera dans un avenir proche.	Seu sonho será realizado no futuro próximo.
Ne l'expose pas à la pluie !	Não exponha a chuva!
Les noisettes sont récoltées à la mi-automne.	As avelãs são colhidas no meio do outono.
De la fumée apparut.	Fumaça apareceu.
J'aime parler du bon vieux temps.	Eu gosto de falar sobre os bons e velhos tempos.
Que vas-tu faire ce soir ?	O que você vai fazer esta noite ?
Je n'ai plus le temps de parler avec vous.	Eu não tenho tempo para falar com você.
Je ne peux pas vous envoyer tous les fichiers en même temps.	Eu não posso enviar todos os arquivos ao mesmo tempo.
Je reviens.	Eu retornarei.
Ce n'est pas de notre faute.	Não é nossa culpa.
Ne pensez-vous pas qu'il soit l'heure pour vous de partir ?	Você não acha que é hora de você sair?
Mon professeur de français est aussi âgé que moi.	Meu professor francês também é idosa como eu.
Il s'est trouvé mal et ils l'ont allongé sur un banc.	Ele se viu mal e deitados em um banco.
Classer les choses n'est pas mon fort.	Classificar as coisas não é minha forte.
Ils ont passé la totalité de la journée sur la plage.	Eles passaram o dia inteiro na praia.
Combien de vos élèves se trouvent ici ?	Quantos de seus alunos estão aqui?
Je viens de manger des sushis et de boire une bière.	Eu apenas como sushi e beber uma cerveja.
Est-ce que quelqu'un ici a un décapsuleur ?	Alguém aqui tem um decapsuleur?
Il joue mieux du piano que moi.	Ele joga melhor piano do que eu.
La lumière est meilleure par ici.	A luz é melhor aqui.
Nous sommes en affaires avec de nombreux pays.	Estamos nos negócios com muitos países.
Je vous ai acheté un cadeau de Noël.	Eu comprei um presente de Natal.
L'été met du temps à venir cette année.	O verão leva tempo para vir este ano.
Nous le savions tous.	Todos nós sabíamos.
Peut-être que vous devriez cesser de boire.	Talvez você deva parar de beber.
Nous avons eu une grosse tempête de neige le week-end dernier.	Nós tivemos uma grande tempestade de neve no último final de semana.
S'il te plait, ne dis à personne que j'étais là.	Por favor, diga a alguém que eu estava lá.
Elle avait cruellement besoin de cet argent.	Ela era cruelmente precisava desse dinheiro.
Tom a acheté un cadeau de Noël pour Marie.	Tom comprou um presente de Natal para Maria.
Mon oncle me demanda ce que j'avais l'intention d'être quand je serai diplômé du collège.	Meu tio me perguntou o que pretendia ser quando me formei na faculdade.
J'avais très soif.	Eu estava com muita sede.
Vas-tu couper tous ces arbres ?	Você vai cortar todas essas árvores?
Arrête de sauter sur le lit.	Pare de saltar na cama.
Nous vous avons fait parvenir un courriel contenant un lien d'activation.	Nós lhe enviamos um email contendo um link de ativação.
Réponds simplement à la question.	Basta responder a pergunta.
Tom est dehors en train d'arroser les fleurs.	Tom está fora de rega as flores.
J'aimerais vraiment savoir comment Tom s'est débrouillé pour faire rouler cette vieille voiture de nouveau.	Eu realmente gostaria de saber como Tom conseguiu rolar este carro velho novamente.
Pourquoi sont-elles si énervées ?	Por que eles estão tão irritados?
À quelle heure le dîner est-il servi ?	Que horas são servidas?
Pourquoi est-ce que tout le monde hurle ?	Por que todo mundo grita?
As-tu senti le tremblement de terre ce matin ?	Você sentiu o terremoto esta manhã?
Je suis là pour toi.	Estou aqui por você.
Vous feriez mieux de consulter le médecin.	É melhor você consultar o médico.
Je ne veux pas que vous vous sur-entraîniez.	Eu não quero que você lide com.
Je m'y habituerai tôt ou tard.	Eu vou me acostumar com isso mais cedo ou mais tarde.
Il était une fois un roi cruel.	Era uma vez havia um rei cruel.
J'aurais dû aller me coucher plus tôt la nuit dernière.	Eu deveria ter ido para a cama mais cedo na noite passada.
Tom pourrait faire cela.	Tom poderia fazer isso.
Sa raison de ne pas y aller est encore obscure.	Sua razão para não ir ainda é obscura.
As-tu une idée de qui c'est ?	Você tem uma ideia de quem é isso?
J'ai été incapable de sauver Tom.	Eu não consegui salvar Tom.
Je suppose que je vais le découvrir la semaine prochaine.	Eu acho que vou descobrir na próxima semana.
Tu estimes peut-être que ton commentaire est anodin, je l'ai cependant trouvé très blessant.	Você acha que talvez o seu comentário seja trivial, eu achei muito doloroso.
C'est trop beau pour être vrai.	É muito bom para ser verdade.
Tom alla dans sa chambre,enfila son pyjama et se coucha.	Tom foi para o quarto dele, colocou os pijamas e dormiu.
Nous n'avions pas d'argent pour cela.	Nós não temos dinheiro para isso.
J'étais juste en train de bricoler.	Eu estava apenas mexendo.
Tu ne m'as pas tout dit.	Você não me contou tudo.
Qui est votre metteur en scène préféré ?	Quem é seu diretor favorito?
Si Tom veut partir, il peut.	Se Tom quer sair, ele pode.
Ils demandent beaucoup trop d'argent pour un stationnement.	Eles estão procurando muito dinheiro para estacionar.
Que pensez vous qu'elles feront ?	O que você acha que eles farão?
Il y a quelques options.	Existem algumas opções.
Tom n'avait pas à se cacher.	Tom não teve que se esconder.
La police te chopera à un moment ou à un autre.	A polícia vai te escolher de uma só vez ou outra.
C'est vain.	É vã.
Je sais que vous avez raison.	Eu sei que você está certo.
Tu as été d'une grande aide.	Você tem sido uma ótima ajuda.
Il n'avait pas mangé de la journée et était affamé.	Ele não tinha comido o dia e estava com fome.
Ce n'est pas la solution qui convient.	Esta não é a solução certa.
Il pense vouloir devenir ingénieur.	Ele acha que ele quer se tornar um engenheiro.
Elle lui acheta un billet.	Ela comprou um ingresso.
Veux-tu parler de quoi que ce soit ?	Você quer falar sobre qualquer coisa?
Ce magasin ne demeure pas ouvert aussi tard que je le souhaiterais.	Esta loja não permanece aberta tão tarde quanto gostaría.
J'adorais grimper aux arbres quand j'étais enfant.	Eu adorava escalar árvores quando eu era criança.
Il a fait le tour du monde.	Ele foi ao redor do mundo.
Je peux voir un bateau à l'horizon.	Eu posso ver um barco no horizonte.
Étais-tu sincère ?	Você era sincero?
As-tu essayé cette eau ?	Você já tentou esta água?
Tu es fatigué.	Você está cansado.
Est-ce le vélo de Tom ?	É a moto de Tom?
Nous avons peu d'argent à disposition pour la recherche.	Nós temos pouco dinheiro disponível para pesquisa.
Il n'a rien compris aux raisons de sa colère.	Ele não entendeu as razões para sua raiva.
Elle a fait une scène.	Ela fez uma cena.
J'espère que tu détiens des preuves pour appuyer tes dires.	Espero que você tenha evidências para apoiar suas toneladas.
Alors ? Viendrez-vous ?	Então ? Você virá?
Il allait s'excuser lorsque l'homme le frappa au visage.	Ele se desculparia quando o homem o atingiu em seu rosto.
Tom sait que Marie a étudié le français.	Tom sabe que Maria estudou francês.
Je les ai soudoyés.	Eu os recebi.
C'est une de mes faiblesses.	É uma das minhas fraquezas.
Je me suis bien amusée pendant ce voyage.	Eu me diverti durante esta viagem.
Téléphone-lui, je te prie.	Telefone-ele, eu te imploro.
Cela arrive beaucoup trop souvent.	Isso acontece com muita frequência.
Il est clair que vous n'êtes pas intéressé.	É claro que você não está interessado.
Ce sont toutes des étudiantes de la fac.	Eles são todos estudantes universitários.
Personne n'est superflu.	Ninguém é supérfluo.
